Year,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000,27.47263975,33.26962083333333,
2001,29.788411166666666,37.095665833333335,8.468477583333332
2002,33.013109750000005,41.510091666666675,10.878485416666665
2003,33.37113183333333,44.31506083333333,1.1046665833333333
2004,35.33716166666667,47.00235249999999,5.929216833333332
2005,38.97699958333333,51.915603333333344,10.289273083333335
2006,44.76539566666667,58.72105000000001,14.993463666666663
2007,49.667219499999995,62.483048333333336,10.969682416666666
2008,58.092161499999996,68.87298166666666,16.945852833333333
2009,62.14838566666666,71.89403666666666,7.1088674166666665
2010,68.00424675000001,75.58522416666666,9.391281166666667
2011,73.81541066666666,79.633605,8.722155083333332
2012,78.13735783333333,83.041535,5.864713166666667
2013,87.37522491666665,88.3665725,11.799816833333336
2014,93.33246933333332,94.01754999999999,6.881679249999999
2015,100.02167833333333,100.00000583333332,7.183064916666666
2016,107.26501133333335,103.52580833333333,7.26224375
2017,109.54727325,107.46889166666669,2.142843416666667
2018,114.19058575000003,110.90612500000002,4.2413585
2019,115.42190041666667,114.26724166666668,1.0849549166666668
2020,121.61607333333332,116.46226666666668,5.378286833333334
2021,124.85359344444443,118.06554444444443,2.704927111111111
